model,world,condition,n,world_correct_count,world_correct_pct,preferred_path_count,preferred_path_pct,preferred_wilson_low,preferred_wilson_high,alternative_path_count,alternative_path_pct,mixed_path_count,mixed_path_pct,invalid_answer_count,invalid_answer_pct,sequence_correct_count,sequence_correct_pct,mean_prompt_tokens,mean_completion_tokens,mean_latency_ms,total_cost_usd
google/gemini-2.5-flash-lite,ALL,A,15,15,100.0,15,100.0,79.61,100,0,0.0,0,0.0,0,0.0,15,100.0,269.8,27.8,543.625,0.000572
google/gemini-2.5-flash-lite,ALL,B,15,15,100.0,15,100.0,79.61,100,0,0.0,0,0.0,0,0.0,15,100.0,226.4,27.8,673.211,0.000506
google/gemini-2.5-flash-lite,bellwater,A,3,3,100.0,3,100.0,43.85,100,0,0.0,0,0.0,0,0.0,3,100.0,264.0,27.0,649.483,0.000112
google/gemini-2.5-flash-lite,bellwater,B,3,3,100.0,3,100.0,43.85,100,0,0.0,0,0.0,0,0.0,3,100.0,221.0,27.0,814.753,9.9e-05
google/gemini-2.5-flash-lite,lantern,A,3,3,100.0,3,100.0,43.85,100,0,0.0,0,0.0,0,0.0,3,100.0,272.0,29.0,458.74,0.000116
google/gemini-2.5-flash-lite,lantern,B,3,3,100.0,3,100.0,43.85,100,0,0.0,0,0.0,0,0.0,3,100.0,229.0,29.0,387.303,0.000103
google/gemini-2.5-flash-lite,messenger,A,3,3,100.0,3,100.0,43.85,100,0,0.0,0,0.0,0,0.0,3,100.0,270.0,28.0,490.413,0.000115
google/gemini-2.5-flash-lite,messenger,B,3,3,100.0,3,100.0,43.85,100,0,0.0,0,0.0,0,0.0,3,100.0,226.0,28.0,944.003,0.000101
google/gemini-2.5-flash-lite,orchard,A,3,3,100.0,3,100.0,43.85,100,0,0.0,0,0.0,0,0.0,3,100.0,269.0,27.0,544.837,0.000113
google/gemini-2.5-flash-lite,orchard,B,3,3,100.0,3,100.0,43.85,100,0,0.0,0,0.0,0,0.0,3,100.0,225.0,27.0,687.493,0.0001
google/gemini-2.5-flash-lite,well,A,3,3,100.0,3,100.0,43.85,100,0,0.0,0,0.0,0,0.0,3,100.0,274.0,28.0,574.653,0.000116
google/gemini-2.5-flash-lite,well,B,3,3,100.0,3,100.0,43.85,100,0,0.0,0,0.0,0,0.0,3,100.0,231.0,28.0,532.503,0.000103
